codigo_departamento,departamento,codigo_municipio,municipio,codigo_establecimiento,codigo_interno,codigo_distrito,establecimiento,tipo_establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
00,CIUDAD CAPITAL,01,ZONA 1,0208,46,403,INSTITUTO NORMAL MIXTO NOCTURNO,INSTITUTO,9A AVE. 9-27,55696890,CARLOS HUMBERTO GONZALEZ DE LEON,SANTOS PALMA CONTRERAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0207,46,307,INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,INSTITUTO,9A CALLE 2-36,22533274,NORMA ARACELY PALOMO FRANCO DE DIAZ,FREDY AMILCAR CRUZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0206,46,307,INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,INSTITUTO,9A CALLE 2-36,22326422,NORMA ARACELY PALOMO FRANCO DE DIAZ,EVA ANGELINA RAMIREZ IXCAMPARIJ DE RAMIREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0205,46,317,INSTITUTO NORMAL CENTRAL PARA SENORITAS BELEN,INSTITUTO,11 AVE. 12-20,22329609,MARIANO DOMINGO ESTRADA TELETOR,ELSA CORALIA LEON BARRIOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0220,46,312,LICEO FRANCES,LICEO,5A AVE. 9-80,22516728,AMADO SALOMON FLORES PEREZ,ANA MARIA ESTRADA RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0204,46,301,INSTITUTO NACIONAL DE BACHILLERATO ADSC. AL INCA,INSTITUTO,1A CALLE 2-64,22323114,LUCRECIA MARISOL CERMENO GONZALEZ,INGRID MARIELA ESPINA ORELLANA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0248,46,312,COLEGIO EL CAMINO,COLEGIO,10A CALLE 11-46,22511273,AMADO SALOMON FLORES PEREZ,ALAN JEFFREY BRENNER SANTIZO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0250,46,001,COLEGIO MIXTO MONTSERRAT,COLEGIO,15 AVE. 2-63,22530372,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,NO REGISTRADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0376,46,403,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,LICEO,12 CALLE 10-37,22201454,CARLOS HUMBERTO GONZALEZ DE LEON,SILVIA SUSANA SALAZAR SOTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0368,46,403,LICEO TECNOLOGICO MAYA DE GUATEMALA,LICEO,9 CALLE 3-72,22322025,CARLOS HUMBERTO GONZALEZ DE LEON,EDGAR AROLDO ELIAS GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0366,46,403,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,INSTITUTO,10 CALLE 3-15,36117881,CARLOS HUMBERTO GONZALEZ DE LEON,MYRIAM JEANNETTE CIFUENTES ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0364,46,106,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,CENTRO,8A. CALLE 12-46,22320683,CESAR ARNOLDO MARTINEZ GARCIA,PATRICIA LORENA LIDIA GIDI DAVID,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0354,46,307,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,LICEO,12 CALLE 10-37,22201454,NORMA ARACELY PALOMO FRANCO DE DIAZ,RITA CAROLINA TEJEDA MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0353,46,307,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,LICEO,12 CALLE 10-37,22201454,NORMA ARACELY PALOMO FRANCO DE DIAZ,RITA CAROLINA TEJEDA MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0343,46,403,CENTRO CULTURAL DE LAS AMERICAS NO. 3,CENTRO,2A. AVENIDA 12-23,22325526,CARLOS HUMBERTO GONZALEZ DE LEON,HUGO VALDEMAR RIVAS MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0249,46,318,LICEO MONTESSORI,LICEO,7A CALLE 12-51,22536087,LESLIE AZUCENA MONZON TECUN,KAREN DIANNE SIERRA PAREDES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0339,46,318,COLEGIO INTERNACIONAL CAMBRIDGE (CIS),COLEGIO,3A. AVENIDA A 3-28,57529460,LESLIE AZUCENA MONZON TECUN,MARIA CRISTINA GEREDA AREVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0318,46,317,LICEO HISPANOAMERICANO NO. 2,LICEO,2A. CALLE 7-11,22205687,MARIANO DOMINGO ESTRADA TELETOR,MARIA ISABEL POLANCO PAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0309,46,301,COLEGIO DE INNOVACION TECNOLOGICA EDUCATIVA (C.I.T.E.),COLEGIO,13 CALLE 3-23,22510248,LUCRECIA MARISOL CERMENO GONZALEZ,MYRNA GUDELIA BANTES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0281,46,316,CENTRO CULTURAL DE LAS AMERICAS NO. 3,CENTRO,2A. AVENIDA 12-23,22321894,CARLOS HUMBERTO GONZALEZ DE LEON,BRENDA PAOLA GONZALEZ RECINOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0273,46,401,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA HUMANIDADES,INSTITUTO,10A CALLE 2-37,22383960,IXMUCANE ALDANA VILLAVICENCIO,NO REGISTRADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0261,46,312,INSTITUTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,INSTITUTO,8A CALLE 2-46,22500132,AMADO SALOMON FLORES PEREZ,DORA BEATRIZ CASTILLO DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0254,46,301,COLEGIO MIXTO INDO LATINO,COLEGIO,4A AVE. 13-35,22380338,LUCRECIA MARISOL CERMENO GONZALEZ,SONIA ESTELA RAMIREZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0251,46,301,LICEO MERCANTIL,LICEO,12 AVE. 12-31,22384330,LUCRECIA MARISOL CERMENO GONZALEZ,BRENDA SOFIA SOTO MIRANDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0323,46,403,LICEO HISPANOAMERICANO NO. 2,LICEO,2A. CALLE 7-11,22205687,CARLOS HUMBERTO GONZALEZ DE LEON,MARIA ISABEL POLANCO PAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0377,46,403,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,LICEO,12 CALLE 10-37,22201454,CARLOS HUMBERTO GONZALEZ DE LEON,SILVIA SUSANA SALAZAR SOTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0202,46,312,INSTITUTO MIXTO MIGUEL DE CERVANTES,INSTITUTO,10A. CALLE 1-47,24593860,AMADO SALOMON FLORES PEREZ,CARLOS RENE ESCOBAR MONTENEGRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0192,46,301,INSTITUTO PROFESIONAL DE TECNICAS COMERCIALES ESPECIALIZADAS IPTCE,INSTITUTO,7A AVE. 3-48,22320733,LUCRECIA MARISOL CERMENO GONZALEZ,MARTA JOSEFINA LARA PANIAGUA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,07,ZONA 7,0262,46,639,CENTRO EDUCATIVO INNOVA,CENTRO,14 CALLE 33-32 COLONIA EL RODEO ZONA 7,22340487,LUDVIN RICARDO URRUTIA LORENTI,LUCIA ALEJANDRA CRUZ CASTELLANOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0266,46,639,COLEGIO BLAISE PASCAL,COLEGIO,35 AVENIDA 25-02 COLONIA LAS MARGARITAS ZONA 7,39948089,LUDVIN RICARDO URRUTIA LORENTI,OSCAR ALFONSO AVILA FRANCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0267,46,639,COLEGIO BLAISE PASCAL,COLEGIO,35 AVENIDA 25-02 COLONIA LAS MARGARITAS ZONA 7,39948089,LUDVIN RICARDO URRUTIA LORENTI,OSCAR ALFONSO AVILA FRANCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0269,46,639,CENTRO DE EDUCACION EXTRAESCOLAR CEEX EL ROI,CEEX,38 CALLE E 34-10 ZONA 7 COLONIA EL AMPARO,46810615,LUDVIN RICARDO URRUTIA LORENTI,WAGNER ROBERTO MARTINEZ FERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0272,46,639,LICEO TECNICO DE CIENCIA Y TECNOLOGIA,LICEO,31 AVENIDA C 11-74 ZONA 7 COLONIA CENTROAMERICA,SIN TELEFONO,LUDVIN RICARDO URRUTIA LORENTI,JUAN LUIS JOCON UYU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0273,46,639,LICEO TECNICO DE CIENCIA Y TECNOLOGIA,LICEO,31 AVENIDA C 11-74 ZONA 7 COLONIA CENTROAMERICA,58996240,LUDVIN RICARDO URRUTIA LORENTI,JUAN LUIS JOCON UYU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0651,46,620,ESCUELA NACIONAL DE CIENCIAS COMERCIALES NO.2,ESCUELA,CALZADA SAN JUAN 32-50 ZONA 7 GUATEMALA GUATEMALA,24397960,RONALD MAURICIO MORALES VIVAR,MARGOTH LETICIA ESTURBAN HERRARTE DE LOPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0259,46,639,CENTRO EDUCATIVO INNOVA,CENTRO,14 CALLE 33-32 COLONIA EL RODEO ZONA 7,22340487,LUDVIN RICARDO URRUTIA LORENTI,LUCIA ALEJANDRA CRUZ CASTELLANOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0654,46,409,ESCUELA NAC. DE CIENCIAS COMERCIALES NOCT. ADSC. AL INEB MIGUEL GARCIA GRANADOS,ESCUELA,AVENIDA MOCTEZUMA 31-02 COLONIA BETHANIA ZONA 7,50166164,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,HUGO LEONEL AQUINO ABREGO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0660,46,409,INSTITUTO MIXTO PRIVADO EL MAESTRO AMIGO,INSTITUTO,CALZADA ROOSEVELT 2-34,24751249,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,SERGIO MEJIA AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,2501,46,619,COLEGIO DE INFORMATICA IMB-PC NO.1,COLEGIO,CALZADA SAN JUAN 31-97 Y 32 AVENIDA 4-04 ZONA 7 GUATEMALA,23025400,JUAN WALDEMAR CABRERA MENDEZ,CARLOS ALFREDO DE LEON ALB,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,2972,46,619,CENTRO EDUCATIVO TECNICO LABORAL KINAL,CENTRO,6A. AVENIDA 13-54 COL. LANDIVAR ZONA 7 GUATEMALA,46018773,JUAN WALDEMAR CABRERA MENDEZ,FRANCISCO ANTONIO MORALES RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,2977,46,619,LICEO DE COMPUTACION C.S.S,LICEO,CALZADA SAN JUAN 38-83 COLONIA EL RODEO,24314311,JUAN WALDEMAR CABRERA MENDEZ,SANDRA PATRICIA RAXON MAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,7201,46,619,CENTRO DE ESTUDIOS TURISTICOS Y FINANCIEROS CONTINENTAL,CENTRO,37 AVENIDA 2-24 COLONIA EL RODEO,56328236,JUAN WALDEMAR CABRERA MENDEZ,MANUEL ANTONIO MELGAR HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,7212,46,409,COLEGIO DE INFORMATICA IMB-PC #1,COLEGIO,CALZADA SAN JUAN Y 32 AVENIDA 31-97 Y 4-04 ZONA 7,23025400,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,CARLOS ALFREDO DE LEON ALB,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,7646,46,602,LICEO MIXTO TECNICO EN COMPUTACION SENDA 2000,LICEO,CALZADA SAN JUAN 13-73 ZONA 7,24401029,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,BENEDICTO HERNANDEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0656,46,617,INSTITUTO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS,INSTITUTO,4A. AVENIDA 0-28 ZONA 7 COLONIA LANDIVAR GUATEMALA GUATEMALA,24408842,MARIA DEL ROSARIO VARGAS SANDOVAL,IRMA YOLANDA ROSALES SALAZAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,01,ZONA 1,0197,46,403,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,LICEO,3A. CALLE 7-64,54452951,CARLOS HUMBERTO GONZALEZ DE LEON,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00,CIUDAD CAPITAL,07,ZONA 7,0256,46,639,LICEO MIXTO EN COMPUTACION ROTTERDAM,LICEO,31AVENIDA 14-12 COLONIA CIUDAD DE PLATA II ZONA 7,24738493,LUDVIN RICARDO URRUTIA LORENTI,MARIA DEL CARMEN LOPEZ BENAVENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,07,ZONA 7,0252,46,639,COLEGIO EL PATRIARCA SAN JOSE,COLEGIO,38 CALLE E 34-25 COLONIA EL AMPARO 1 ZONA 7 GUATEMALA,59087046,LUDVIN RICARDO URRUTIA LORENTI,JOSE DAVID GARCIA GARMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00,CIUDAD CAPITAL,01,ZONA 1,0191,46,318,INSTITUTO MIXTO COACTEMALAN,INSTITUTO,11 CALLE 10-43,22325522,LESLIE AZUCENA MONZON TECUN,NANCY ALEIDA BANCES AREVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0186,46,315,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,LICEO,3A. CALLE 7-64,22329406,AURA MARINA GARRIDO MORALES,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0183,46,312,INSTITUTO NORMAL CASA CENTRAL,INSTITUTO,1A AVE. 13-63,22384684,AMADO SALOMON FLORES PEREZ,SILVIA LETICIA PEREN POYON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0180,46,403,ESCUELA NACIONAL DE ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,ESCUELA,9A CALLE 2-36,42201837,CARLOS HUMBERTO GONZALEZ DE LEON,JULIO ERNESTO GONZALEZ HERNANDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00,CIUDAD CAPITAL,01,ZONA 1,0179,46,403,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,ESCUELA,10A. AVENIDA 2-24,58068368,CARLOS HUMBERTO GONZALEZ DE LEON,JULIO CESAR SANTOS CAMPOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
